sampling_fraction	mean_frag_per_bc	median_uniq_frag_per_bc	total_unique_frag_count	total_frag_count	cell_barcode_count
0.0	0.0	0.0	0	0	0
0.1	3459.6292461986413	3130.0	10050189	10693714	3091
0.2	6919.158848269169	5916.0	18954816	21387120	3091
0.3	10378.720478809446	8406.0	26888662	32080625	3091
0.4	13839.080232934326	10667.0	34003746	42776597	3091
0.5	17298.63118731802	12674.0	40421397	53470069	3091
0.6	20758.430928502105	14516.0	46225560	64164310	3091
0.7	24217.943707538012	16158.0	51511053	74857664	3091
0.8	27677.585894532513	17650.0	56330529	85551418	3091
0.9	31136.952442575217	19010.0	60748795	96244320	3091
1.0	34596.94758977677	20311.0	64819613	106939165	3091
